log,template
attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000008_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:10240, vCores:-17> knownNMs=4","getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>"
"Recalculating schedule, headroom=<memory:10240, vCores:-17>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Assigned container container_1445144423722_0020_01_000002 to attempt_1445144423722_0020_m_000000_0,Assigned container container_<*> to attempt_<*>
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
After Scheduling: PendingReds:1 ScheduledMaps:9 ScheduledReds:0 AssignedMaps:1 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:1 ContRel:0 HostLocal:0 RackLocal:1,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000000_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*> : <*>
ATTEMPT_START task_1445144423722_0020_m_000000,ATTEMPT_START task_<*>
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:7168, vCores:-20> knownNMs=4","getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>"
"Recalculating schedule, headroom=<memory:7168, vCores:-20>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Got allocated containers 1,Got allocated containers <*>
Assigned container container_1445144423722_0020_01_000003 to attempt_1445144423722_0020_m_000001_0,Assigned container container_<*> to attempt_<*>
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
After Scheduling: PendingReds:1 ScheduledMaps:8 ScheduledReds:0 AssignedMaps:2 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:2 ContRel:0 HostLocal:0 RackLocal:2,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>
Launching attempt_1445144423722_0020_m_000001_0,Launching attempt_<*>
Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000001_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*> : <*>
attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
ATTEMPT_START task_1445144423722_0020_m_000001,ATTEMPT_START task_<*>
task_1445144423722_0020_m_000001 Task Transitioned from SCHEDULED to RUNNING,task_<*> Task Transitioned from SCHEDULED to RUNNING
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:4096, vCores:-23> knownNMs=4","getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Got allocated containers 1,Got allocated containers <*>
Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Assigned container container_1445144423722_0020_01_000004 to attempt_1445144423722_0020_m_000002_0,Assigned container container_<*> to attempt_<*>
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
After Scheduling: PendingReds:1 ScheduledMaps:7 ScheduledReds:0 AssignedMaps:3 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:3 ContRel:0 HostLocal:0 RackLocal:3,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000004 taskAttempt attempt_1445144423722_0020_m_000002_0,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>
Launching attempt_1445144423722_0020_m_000002_0,Launching attempt_<*>
Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,Opening proxy : <*>:<*>
Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000002_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*> : <*>
TaskAttempt: [attempt_1445144423722_0020_m_000002_0] using containerId: [container_1445144423722_0020_01_000004 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],TaskAttempt: [attempt_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>:<*>]
attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
ATTEMPT_START task_1445144423722_0020_m_000002,ATTEMPT_START task_<*>
task_1445144423722_0020_m_000002 Task Transitioned from SCHEDULED to RUNNING,task_<*> Task Transitioned from SCHEDULED to RUNNING
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:1024, vCores:-26> knownNMs=4","getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
JVM with ID: jvm_1445144423722_0020_m_000002 given task: attempt_1445144423722_0020_m_000000_0,JVM with ID: jvm_<*> given task: <*>_<*>
"Recalculating schedule, headroom=<memory:1024, vCores:-26>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*> (auth:SIMPLE)
JVM with ID : jvm_1445144423722_0020_m_000003 asked for a task,JVM with ID : jvm_<*> asked for a task
JVM with ID: jvm_1445144423722_0020_m_000003 given task: attempt_1445144423722_0020_m_000001_0,JVM with ID: jvm_<*> given task: <*>_<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*> (auth:SIMPLE)
JVM with ID : jvm_1445144423722_0020_m_000004 asked for a task,JVM with ID : jvm_<*> asked for a task
JVM with ID: jvm_1445144423722_0020_m_000004 given task: attempt_1445144423722_0020_m_000002_0,JVM with ID: jvm_<*> given task: <*>_<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.023958297,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.065791264,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.05713628,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.10004553,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.079464614,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.06741504,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.10635664,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.10501281,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.103304505,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.10635664,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.1066108,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.10660437,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.10635664,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.1066108,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.10660437,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.10635664,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.1066108,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.10660437,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.10635664,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.1066108,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.10660437,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.10635664,Progress of TaskAttempt attempt_<*> is : <*>.<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.1066108,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.10660437,Progress of TaskAttempt attempt_<*> is : <*>.<*>
Got allocated containers 1,Got allocated containers <*>
Assigned container container_1445144423722_0020_01_000005 to attempt_1445144423722_0020_m_000003_0,Assigned container container_<*> to attempt_<*>
"Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
After Scheduling: PendingReds:1 ScheduledMaps:6 ScheduledReds:0 AssignedMaps:4 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:4 ContRel:0 HostLocal:1 RackLocal:3,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000005 taskAttempt attempt_1445144423722_0020_m_000003_0,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>
